Subcompact ICEV ,Compact ICEV ,Mid ICEV, Large ICEV,Near & Entry luxury ICEV ,Luxury and High End Sports ICEV ,Sports ICEV,Compact & Subcompact SUV ICEV,Mid & Large SUV ICEV ,Luxury Subcompact & Compact SUV ICEV ,Luxury Mid & Large SUV ICEV ,Subcompact Non-plugin Hybrid,Compact Non-plugin Hybrid,Mid Non-plugin hybrid,Large Non-plugin Hybrid,Luxury Hybrid Non Plug in,Compact SUV Non Plug in Hybrid,Mid SUV  Non-plugin hybrid,Luxury SUV  Non-plugin hybrid,Compact Plug in Hybrid ,Mid  Plug in Hybrid,Sports Plug in Hybrid,Luxury Plug in Hybrid,Luxury High End Plug in Hybrid,Luxury Mid SUV Plug in Hybrid,Subcompact EV,Compact EV,Luxury EV,Luxury High End EV,Luxury SUV EV
0.788003325,0.669209931,0.847785367,0.948050575,0.570141807,0.44895724,0.930133257,0.528955527,0.469759327,0.585198419,0.560403338,0.897411145,0.987686007,0.934999788,0.894191091,0.991310892,0.954003768,0.879858657,0.683949828,1,1,1,0.879795396,0.544015826,0.977696244,0.990590591,1.001015823,1,1,1
0.035273812,0.172670258,0.122939092,0.01325545,0.063240659,0.03294633,0.019920314,0.130770404,0.09695489,0.0372908,0.044958794,0.005227789,0.020032705,0.009903134,0.000990502,0.004175209,0.004951253,0.000711828,0.001311831,0.007235959,0.005376138,0.000352769,0.001297984,0.000223745,0.00229211,0.002705418,0.005575271,0.002607174,0.005424784,0.003012226
