Agency,Year,TOG,CO,Nox,PM10,PM2.5,Sox,CO2e
Silicon Valley,2022,0.004247283,0.280273726,0.01603859,0.001681831,0.001546601,0.002099475,211.4218786
Sonoma,2022,0.004572848,0.286690542,0.01651842,0.001801237,0.001656396,0.002185053,219.9885
Apple Valley,2023,0.003812323,0.249536124,0.015912669,0.001481565,0.001362446,0.002018107,203.3140901
San Francisco,2023,0.00415251,0.25744336,0.016212099,0.001697975,0.001561225,0.002035074,203.7415238
Lancaster,2023,0.004919716,0.301554063,0.016981839,0.00191868,0.001764401,0.002171418,218.595047
MCE,2023,0.00415251,0.25744336,0.016212099,0.001697975,0.001561225,0.002035074,203.7415238
Peninsula,2023,0.00415251,0.25744336,0.016212099,0.001697975,0.001561225,0.002035074,203.7415238
Redwood,2023,0.004479053,0.258464922,0.017083265,0.001834682,0.001687151,0.002085831,210.0894402
Silicon Valley,2023,0.00415251,0.25744336,0.016212099,0.001697975,0.001561225,0.002035074,203.7415238
Sonoma,2023,0.004457338,0.261690937,0.016595633,0.001806392,0.001661065,0.002117004,212.7879875
Apple Valley,2024,0.003409125,0.217034992,0.014762276,0.00148389,0.001364588,0.001943449,195.8842327
San Francisco,2024,0.00369025,0.220437518,0.014897588,0.001680829,0.001545687,0.001961317,197.6721389
Lancaster,2024,0.00437703,0.253915194,0.01566762,0.00191129,0.001757605,0.002095591,211.0726507
MCE,2024,0.00369025,0.220437518,0.014897588,0.001680829,0.001545687,0.001961317,197.6721389
Peninsula,2024,0.00369025,0.220437518,0.014897588,0.001680829,0.001545687,0.001961317,197.6721389
Redwood,2024,0.004002673,0.223541743,0.015844162,0.001835397,0.001687811,0.002012329,202.7795909
Silicon Valley,2024,0.00369025,0.220437518,0.014897588,0.001680829,0.001545687,0.001961317,197.6721389
Sonoma,2024,0.003974255,0.225530988,0.015344035,0.001800466,0.001655695,0.00204134,205.6843968
Apple Valley,2025,0.003233257,0.184704356,0.014638464,0.001483682,0.0013644,0.001865566,188.1300411
San Francisco,2025,0.003499977,0.187630445,0.014772417,0.001680396,0.001545293,0.001882642,189.8392518
Lancaster,2025,0.004152635,0.216199579,0.015536513,0.001910996,0.001757338,0.002011525,202.7074176
MCE,2025,0.003499977,0.187630445,0.014772417,0.001680396,0.001545293,0.001882642,189.8392518
Peninsula,2025,0.003499977,0.187630445,0.014772417,0.001680396,0.001545293,0.001882642,189.8392518
Redwood,2025,0.003799451,0.190391645,0.015713837,0.001836058,0.001688423,0.001932145,194.7960598
Silicon Valley,2025,0.003499977,0.187630445,0.014772417,0.001680396,0.001545293,0.001882642,189.8392518
Sonoma,2025,0.003769801,0.19199399,0.015215381,0.001800131,0.00165539,0.001959489,197.5343285
Apple Valley,2026,0.003233383,0.184714265,0.014638591,0.001220924,0.001122803,0.001865606,188.1339508
San Francisco,2026,0.003499691,0.187626106,0.014772139,0.001382625,0.001271504,0.001882605,189.8355484
Lancaster,2026,0.004152635,0.216199582,0.015536513,0.001572444,0.001446052,0.002011525,202.707418
MCE,2026,0.003499691,0.187626106,0.014772139,0.001382625,0.001271504,0.001882605,189.8355484
Peninsula,2026,0.003499691,0.187626106,0.014772139,0.001382625,0.001271504,0.001882605,189.8355484
Redwood,2026,0.003803044,0.190480384,0.015718018,0.001105143,0.001016373,0.001933,194.8815708
Silicon Valley,2026,0.003499691,0.187626106,0.014772139,0.001382625,0.001271504,0.001882605,189.8355484
Sonoma,2026,0.003762893,0.191818796,0.015208402,0.001478582,0.001359738,0.00195792,197.3773556
Apple Valley,2027,0.003233504,0.184723743,0.014638714,0.000892466,0.000820799,0.001865643,188.1376897
San Francisco,2027,0.003499429,0.187622389,0.014771886,0.001010526,0.000929372,0.001882571,189.8321833
Lancaster,2027,0.004152635,0.216199586,0.015536513,0.001149254,0.001056944,0.002011525,202.7074185
MCE,2027,0.003499429,0.187622389,0.014771886,0.001010526,0.000929372,0.001882571,189.8321833
Peninsula,2027,0.003499429,0.187622389,0.014771886,0.001010526,0.000929372,0.001882571,189.8321833
Redwood,2027,0.003801359,0.19043886,0.015716061,0.001511484,0.001389989,0.001932599,194.8414465
Silicon Valley,2027,0.003499429,0.187622389,0.014771886,0.001010526,0.000929372,0.001882571,189.8321833
Sonoma,2027,0.003762806,0.19181756,0.015208318,0.001080648,0.000993853,0.001957908,197.376234
Apple Valley,2028,0.003233619,0.18473275,0.01463883,0.000564003,0.000518789,0.001865679,188.1412434
San Francisco,2028,0.003499192,0.187619272,0.01477166,0.000638497,0.000587305,0.001882541,189.8291505
Lancaster,2028,0.004152635,0.216199589,0.015536514,0.000726064,0.000667837,0.002011525,202.7074189
MCE,2028,0.003499192,0.187619272,0.01477166,0.000638497,0.000587305,0.001882541,189.8291505
Peninsula,2028,0.003499192,0.187619272,0.01477166,0.000638497,0.000587305,0.001882541,189.8291505
Redwood,2028,0.003804639,0.1905196,0.015719866,0.000698445,0.00064243,0.001933379,194.9195523
Silicon Valley,2028,0.003499192,0.187619272,0.01477166,0.000638497,0.000587305,0.001882541,189.8291505
Sonoma,2028,0.003762727,0.191816523,0.015208243,0.000682739,0.000627989,0.001957898,197.3752232
Apple Valley,2029,0.00323373,0.184741466,0.014638942,0.000564008,0.000518793,0.001865713,188.1446821
San Francisco,2029,0.00349898,0.187616779,0.014771463,0.000638451,0.000587262,0.001882515,189.8265747
Lancaster,2029,0.004152635,0.216199592,0.015536514,0.000726064,0.000667837,0.002011525,202.7074193
MCE,2029,0.00349898,0.187616779,0.014771463,0.000638451,0.000587262,0.001882515,189.8265747
Peninsula,2029,0.00349898,0.187616779,0.014771463,0.000638451,0.000587262,0.001882515,189.8265747
Redwood,2029,0.003806083,0.190555042,0.015721536,0.000698694,0.000642659,0.001933723,194.9539548
Silicon Valley,2029,0.00349898,0.187616779,0.014771463,0.000638451,0.000587262,0.001882515,189.8265747
Sonoma,2029,0.003762656,0.191815694,0.015208177,0.000682723,0.000627975,0.00195789,197.3743647
Apple Valley,2030,0.003233786,0.184749626,0.014638828,0.000564012,0.000518797,0.001865746,188.1479124
San Francisco,2030,0.003498716,0.187614198,0.014771045,0.000638404,0.00058722,0.001882489,189.8239053
Lancaster,2030,0.004152574,0.216199571,0.015536281,0.000726064,0.000667837,0.002011525,202.7074166
MCE,2030,0.003498716,0.187614198,0.014771045,0.000638404,0.00058722,0.001882489,189.8239053
Peninsula,2030,0.003498716,0.187614198,0.014771045,0.000638404,0.00058722,0.001882489,189.8239053
Redwood,2030,0.003807415,0.190588945,0.015722899,0.000698934,0.000642879,0.001934054,194.9870286
Silicon Valley,2030,0.003498716,0.187614198,0.014771045,0.000638404,0.00058722,0.001882489,189.8239053
Sonoma,2030,0.00376253,0.191814819,0.015207884,0.000682708,0.000627961,0.001957881,197.3734741
